branch,cgpa,tenth_percentage,twelfth_percentage,programming_skill,communication_skill,problem_solving,teamwork,leadership,internships,projects,certifications,hackathons,backlogs,resume_score,aptitude_score,coding_score,communication_test,placement_score,placed
ECE,6.71,88.0,65.4,3.4,4.0,4.8,9.9,4.7,1,3,2,2,0,60.9,52.7,45.7,43.8,35.6,0
CIVIL,7.87,69.5,96.4,10.0,6.6,8.9,6.6,4.9,1,3,2,1,0,79.8,84.7,94.3,76.7,81.7,1
EEE,5.48,50.2,89.1,6.1,7.1,10.0,6.9,4.9,1,4,0,0,1,51.9,78.4,71.4,70.6,41.1,0
CIVIL,6.01,73.7,64.3,6.3,6.0,5.5,8.4,6.0,2,1,2,0,0,69.9,38.4,60.4,57.8,35.0,0
CSE,7.58,83.3,59.2,8.5,9.2,2.9,7.4,2.5,0,3,1,2,1,60.4,24.3,55.0,96.1,43.5,0
IT,7.89,77.8,78.7,7.8,2.0,6.4,6.4,3.2,1,2,1,1,2,55.9,53.6,80.5,9.7,30.2,0
AIML,7.91,79.0,79.3,6.1,8.5,5.8,6.3,7.8,1,1,2,0,1,58.9,53.3,57.2,82.9,46.5,0
CIVIL,6.33,82.2,74.2,6.3,7.9,9.9,4.6,1.5,2,3,2,1,4,67.7,78.3,74.6,73.8,56.7,1
DS,6.12,71.9,100.0,3.0,7.3,9.4,7.3,6.7,2,2,2,0,1,61.3,82.3,43.9,71.6,40.1,0
CSE,6.64,62.9,83.4,4.9,0.5,7.8,6.9,4.8,1,3,2,0,0,65.5,60.0,47.9,2.7,24.4,0
EEE,7.46,86.9,64.1,7.0,8.8,5.1,6.3,5.8,1,1,0,1,2,56.9,41.1,65.2,84.8,46.2,0
MECH,8.83,67.4,88.7,6.9,4.7,7.5,5.5,8.6,1,5,1,1,0,89.5,65.7,69.9,45.0,66.7,1
MECH,4.95,63.6,75.8,8.4,5.6,6.7,5.6,5.2,1,4,1,2,4,63.8,54.6,82.2,50.2,23.8,0
EEE,6.96,84.0,66.2,5.8,6.2,6.7,7.9,6.8,3,2,1,1,0,74.6,47.9,63.0,61.2,49.4,0
ECE,5.73,64.7,86.7,3.2,7.2,3.2,8.3,5.6,1,3,2,3,3,55.2,18.7,32.5,61.8,15.8,0
CSE,5.38,68.2,94.2,8.1,7.7,8.2,6.5,5.3,3,1,1,2,0,66.2,74.3,93.6,88.4,63.8,1
ECE,8.26,97.0,77.8,8.9,8.1,6.4,6.4,5.0,2,3,2,0,0,83.1,55.2,89.7,58.8,61.0,1
CSE,7.8,97.1,62.3,7.8,8.0,6.0,5.7,6.9,0,1,3,2,0,65.0,59.2,81.4,76.5,59.8,1
IT,7.69,92.3,76.5,5.7,7.0,5.1,8.4,4.0,2,2,2,2,0,73.0,49.6,61.3,70.0,53.1,1
CSE,8.21,87.1,62.6,8.1,7.2,4.7,7.0,3.2,0,5,2,3,1,83.9,35.3,74.6,68.9,67.5,1
CSE,6.67,91.9,77.9,10.0,4.5,6.8,7.6,5.6,1,1,3,0,0,71.4,62.5,98.7,46.9,56.6,1
MECH,6.72,100.0,84.8,6.2,5.1,2.9,7.5,5.9,1,3,1,2,1,62.1,25.8,64.3,57.7,36.9,0
MECH,9.6,91.1,49.3,3.4,8.1,7.7,6.5,1.9,2,1,3,0,1,77.7,60.7,43.3,72.0,58.0,1
AIML,6.93,81.0,84.3,4.8,8.0,4.2,5.3,5.5,0,3,0,1,1,53.8,54.8,54.4,66.7,29.6,0
MECH,8.01,88.5,70.1,7.3,7.8,2.3,5.5,3.0,2,2,0,1,2,59.5,37.1,53.5,72.5,44.5,0
ECE,7.21,72.4,67.7,2.8,5.6,9.7,8.7,6.8,3,2,1,2,0,66.6,82.5,49.3,42.5,52.4,1
IT,5.17,79.8,57.7,6.3,8.1,4.6,5.9,1.9,0,2,1,1,0,39.7,29.8,54.5,73.9,26.6,0
MECH,4.95,80.3,61.0,6.8,4.4,4.8,6.4,9.4,2,1,2,1,0,65.9,34.8,54.6,42.8,36.0,0
CSE,6.56,76.3,97.9,9.1,8.4,8.4,5.3,4.8,0,4,1,1,0,67.1,62.5,87.3,81.8,68.4,1
MECH,8.36,74.2,86.0,8.6,6.0,9.7,5.2,3.8,0,4,4,0,0,92.8,84.3,89.9,67.2,75.1,1
AIML,8.07,93.5,91.8,7.7,9.5,3.3,5.8,4.9,3,4,3,1,4,88.4,29.4,70.8,93.4,56.8,1
ECE,8.21,66.6,63.9,1.7,3.8,4.4,9.5,6.6,1,1,4,1,0,65.3,32.6,31.2,45.4,37.6,0
ECE,6.11,79.8,98.4,7.8,9.7,4.5,8.0,7.3,1,1,3,1,0,69.5,52.7,67.9,90.7,52.6,1
CSE,8.98,62.5,74.1,7.4,5.8,8.0,6.2,5.0,1,3,4,0,2,95.8,60.4,86.7,55.2,59.9,1
CSE,6.14,53.9,64.7,6.5,5.8,9.3,8.6,2.6,0,5,1,0,3,64.3,89.4,82.2,57.5,33.7,0
EEE,7.43,92.3,61.0,2.5,6.9,4.1,6.8,3.1,1,3,2,0,4,60.7,42.5,30.2,67.7,10.4,0
MECH,7.19,93.4,61.4,4.4,5.2,8.9,9.0,6.1,0,2,1,2,2,49.3,76.3,47.6,53.6,31.7,0
CSE,7.01,72.2,65.3,3.7,6.4,4.9,10.0,7.5,0,4,2,0,0,56.2,32.6,56.5,69.3,15.9,0
AIML,8.67,78.6,63.4,2.0,5.2,6.8,8.5,7.7,3,1,3,1,0,82.9,67.5,41.5,58.8,58.2,1
IT,6.42,74.5,86.8,6.0,5.2,3.8,7.1,5.8,3,4,2,0,1,84.9,46.1,56.9,62.0,40.9,0
MECH,5.72,74.5,100.0,4.4,7.4,6.0,8.0,7.4,1,5,1,1,0,61.8,49.6,37.6,76.1,50.4,1
IT,7.22,72.1,71.8,10.0,4.9,6.0,7.0,9.3,0,5,2,0,0,81.6,57.9,96.3,52.9,54.0,1
CSE,6.76,83.5,72.0,5.7,5.1,5.6,4.2,7.9,1,1,0,0,3,47.8,45.6,52.4,57.2,9.2,0
EEE,10.0,73.4,50.8,8.6,4.0,6.9,6.0,7.3,2,2,2,0,0,85.7,67.5,88.7,46.6,69.5,1
CIVIL,7.94,83.0,63.0,2.9,5.6,4.3,5.6,3.9,0,3,2,1,0,55.7,26.7,33.1,53.8,31.4,0
IT,6.75,98.0,53.9,4.9,8.9,4.5,6.0,7.4,0,1,3,2,1,52.2,44.1,37.4,79.5,34.8,0
IT,6.04,82.7,85.6,6.2,5.0,7.0,9.7,6.4,2,2,4,0,0,78.4,36.1,55.4,51.6,44.0,0
ECE,5.13,79.5,100.0,4.2,5.2,8.7,8.7,6.8,1,3,0,2,0,52.1,60.6,45.6,50.4,36.0,0
AIML,6.07,71.1,60.9,5.2,6.8,6.2,7.7,8.0,0,2,4,0,3,60.9,40.8,65.0,70.0,24.1,0
CSE,7.33,77.8,72.4,5.6,5.8,7.2,8.2,6.2,0,2,4,0,2,64.5,57.4,54.3,63.6,37.8,0
AIML,8.77,58.0,71.8,5.5,10.0,7.6,4.2,5.3,2,1,2,0,0,76.9,54.1,43.6,91.7,68.0,1
DS,8.43,96.5,83.9,9.7,6.2,7.8,8.1,3.4,1,5,3,2,0,94.6,55.2,91.8,61.8,81.1,1
CSE,7.45,66.5,76.4,6.8,7.1,4.4,8.4,4.9,0,4,0,1,1,48.2,33.7,61.0,56.4,26.4,0
IT,6.84,55.0,100.0,7.0,8.2,4.7,3.6,5.9,2,3,4,0,1,81.8,36.8,76.2,74.0,61.5,1
CSE,7.5,76.7,65.3,7.1,8.2,4.9,8.1,6.1,2,0,2,0,1,68.5,29.9,77.0,100.0,33.5,0
EEE,6.63,82.3,86.7,7.2,6.9,9.9,4.9,6.0,0,3,4,1,1,69.0,68.2,68.4,73.9,61.3,1
MECH,9.09,93.9,67.3,5.8,6.2,7.2,4.0,7.4,1,1,1,0,1,63.3,50.5,63.8,67.9,38.1,0
MECH,6.99,80.9,54.2,5.4,10.0,7.1,9.0,7.2,0,3,3,0,2,59.5,64.7,62.6,100.0,51.2,1
AIML,7.11,89.1,93.5,6.3,6.3,6.9,5.5,5.4,1,3,1,2,1,62.0,76.3,63.6,67.9,42.5,0
CIVIL,4.76,89.2,99.4,8.3,5.7,3.7,5.9,3.8,0,4,1,0,0,51.2,41.2,75.1,55.2,22.1,0
EEE,6.99,88.0,80.3,8.3,5.3,9.9,8.5,6.3,1,2,4,1,2,72.3,76.2,93.5,51.6,72.8,1
IT,8.12,64.4,66.8,5.5,3.4,7.1,6.5,10.0,1,0,2,0,0,55.7,60.2,60.4,46.0,43.1,0
DS,6.03,84.1,60.2,7.5,8.0,7.6,6.7,6.1,1,4,3,0,3,80.5,60.6,80.1,72.0,45.1,0
CSE,6.37,61.4,82.3,5.6,2.3,2.8,6.7,4.9,1,4,2,2,2,70.8,21.6,60.4,30.1,16.7,0
DS,8.07,100.0,47.4,6.1,6.5,7.7,7.5,6.6,0,2,4,2,0,82.7,62.3,60.8,76.6,56.5,1
CSE,5.58,86.4,86.3,5.1,6.1,5.5,6.7,6.7,3,1,2,1,1,61.4,46.4,57.0,67.6,41.5,0
IT,8.36,70.5,69.6,5.6,10.0,3.7,7.2,6.7,0,2,0,1,0,57.8,15.5,49.4,95.6,37.9,0
ECE,6.61,82.5,69.3,8.7,3.2,4.4,6.2,8.2,1,2,3,1,4,82.1,30.1,85.8,42.7,25.9,0
CSE,6.77,65.9,61.0,6.2,4.9,3.8,7.5,6.3,0,4,0,1,0,61.0,30.0,52.7,52.7,36.2,0
EEE,5.96,59.3,56.3,6.3,6.3,3.8,7.5,8.2,1,3,3,2,0,75.1,49.2,60.7,63.0,40.6,0
CIVIL,7.62,88.5,74.2,3.1,6.1,6.3,9.8,6.0,0,1,1,2,0,46.3,55.6,35.9,69.6,20.1,0
ECE,9.91,66.2,77.5,5.4,5.5,5.5,6.4,8.5,0,3,2,2,0,73.5,52.5,58.1,50.7,68.4,1
CSE,8.06,75.8,73.8,5.5,6.4,6.8,6.7,7.9,1,1,2,1,1,58.7,53.8,51.9,55.3,48.0,0
MECH,6.25,80.5,89.2,4.3,4.2,9.4,7.4,7.3,0,1,2,2,0,34.3,86.6,51.6,44.0,33.9,0
AIML,8.45,75.8,75.8,6.0,7.1,6.0,8.4,7.1,1,2,2,0,0,70.9,49.9,59.9,68.8,53.5,1
ECE,6.85,65.7,84.3,5.1,2.3,1.9,5.4,10.0,0,1,3,0,0,51.9,22.1,37.5,17.5,14.3,0
CSE,8.71,78.7,55.9,6.2,6.5,5.7,7.2,7.7,0,4,1,1,2,66.0,47.3,56.5,65.4,31.9,0
EEE,8.09,79.8,69.3,6.2,5.4,8.5,3.2,3.8,2,2,2,0,0,70.7,72.2,55.4,48.8,60.5,1
CSE,4.0,88.5,94.3,4.1,8.3,6.0,6.6,6.0,0,3,1,1,0,42.8,44.5,47.4,75.8,26.3,0
IT,6.1,100.0,87.6,5.2,9.7,9.1,8.6,5.0,0,3,2,1,0,55.8,87.5,65.4,95.4,57.2,1
IT,8.24,54.3,79.3,6.2,5.9,7.1,5.9,9.6,0,5,1,1,1,76.6,52.6,53.6,53.4,36.5,0
MECH,7.37,68.4,70.1,8.4,9.0,2.7,7.3,8.0,0,4,2,0,2,68.6,14.1,64.2,95.3,38.7,0
ECE,6.07,80.7,62.8,6.5,5.9,6.4,6.2,9.6,0,4,1,2,1,59.2,52.5,58.2,70.3,39.3,0
IT,6.5,90.1,68.1,4.7,4.8,6.8,5.7,4.0,0,2,3,0,0,57.4,69.1,42.0,52.8,35.1,0
MECH,5.1,82.2,83.3,6.8,9.6,8.3,8.5,7.7,0,1,1,2,1,41.5,60.6,73.7,92.7,30.0,0
IT,7.1,91.5,49.2,9.4,7.4,9.7,5.4,2.8,2,3,1,0,0,75.9,75.8,89.8,74.8,78.8,1
CIVIL,9.63,60.2,98.3,7.8,6.5,7.9,7.4,2.3,0,2,2,1,0,79.8,65.4,80.3,62.0,65.1,1
IT,8.09,74.2,91.1,7.1,7.7,7.0,7.5,4.7,2,1,1,2,0,71.7,45.7,65.6,81.1,60.2,1
MECH,9.61,95.5,90.8,7.5,7.0,7.5,5.7,8.5,2,1,1,2,0,72.1,48.9,72.2,73.0,68.8,1
EEE,8.17,67.7,83.0,8.9,6.4,5.9,7.2,3.5,0,2,3,2,0,70.4,56.0,90.1,69.3,51.9,1
DS,8.33,43.2,76.4,8.2,4.1,3.4,5.6,5.5,0,3,2,2,1,67.7,28.0,64.0,40.4,48.9,0
MECH,9.37,68.2,79.9,7.1,6.0,6.3,7.8,7.9,0,3,1,1,3,69.3,41.7,65.7,66.1,45.8,0
MECH,7.61,83.2,70.2,8.1,7.6,6.9,5.0,7.2,1,3,0,1,0,57.2,52.6,81.8,76.6,50.4,1
CSE,6.99,77.2,100.0,3.8,6.3,3.9,6.5,9.9,1,2,2,1,0,58.6,26.8,36.3,64.6,23.1,0
CIVIL,8.34,62.6,73.2,3.0,8.1,8.7,6.6,5.5,1,2,2,2,0,65.2,69.8,42.7,80.3,59.2,1
MECH,8.8,69.3,68.8,6.3,7.2,8.1,8.7,4.6,1,2,1,2,0,63.2,66.5,66.7,67.0,64.1,1
CSE,6.67,62.0,71.5,6.1,4.9,3.6,7.2,3.3,0,5,1,2,3,64.2,11.6,45.7,54.0,20.7,0
CSE,6.41,63.4,65.6,4.9,4.1,8.8,8.4,4.8,2,0,1,1,4,53.8,81.0,66.7,43.9,20.0,0
MECH,7.35,67.5,85.5,7.7,6.2,5.6,7.8,3.3,1,2,4,1,0,69.9,45.5,71.7,56.1,48.5,0
IT,8.11,79.3,68.3,2.3,5.6,4.7,7.8,1.9,3,2,1,2,0,69.0,32.7,38.8,53.6,47.5,0
MECH,8.08,49.3,73.4,4.9,7.1,8.3,6.5,9.4,1,1,1,0,1,54.9,73.1,58.3,73.0,32.1,0
CSE,5.63,94.4,92.4,5.0,5.2,6.1,8.5,5.6,0,2,2,0,0,59.8,40.5,61.7,52.5,29.3,0
CIVIL,9.3,76.8,88.9,2.7,5.4,9.8,6.5,10.0,2,3,3,3,1,82.7,76.0,48.6,51.6,74.2,1
CSE,6.49,64.7,61.7,9.0,8.4,4.6,4.4,3.8,1,2,0,1,2,53.4,26.9,89.7,67.5,30.8,0
EEE,6.91,66.3,90.3,3.3,6.8,2.9,6.7,4.6,2,0,2,1,2,47.1,29.2,30.5,74.1,17.9,0
CSE,6.21,70.4,56.6,4.8,5.2,5.7,7.7,3.9,1,3,3,2,1,67.2,54.9,62.4,48.2,26.1,0
CSE,10.0,78.1,55.5,7.8,6.5,7.7,4.6,4.2,2,1,1,2,0,83.2,64.7,74.6,63.7,67.5,1
CSE,7.47,79.8,70.8,7.3,9.0,4.4,5.7,7.2,3,2,4,0,0,87.4,34.0,69.8,83.7,67.6,1
ECE,6.26,75.7,78.8,3.8,7.0,3.7,5.2,6.6,1,2,2,0,4,58.2,19.2,43.7,70.0,1.5,0
CSE,8.15,68.9,72.1,7.4,7.6,6.6,8.2,7.3,0,4,2,2,0,77.0,49.4,94.4,77.8,68.4,1
ECE,8.05,77.9,80.7,6.6,5.1,3.4,9.5,8.2,1,0,4,2,0,74.8,29.2,67.1,54.6,42.5,0
MECH,6.99,53.1,70.1,10.0,8.3,6.8,6.7,7.7,3,2,0,0,0,74.0,49.7,89.9,83.5,61.8,1
EEE,8.12,63.4,48.2,6.8,10.0,5.6,7.8,3.5,1,2,2,2,0,66.8,40.8,67.5,97.9,68.2,1
ECE,6.29,69.9,72.5,5.7,5.1,7.1,7.8,4.5,3,3,3,1,0,80.3,48.1,50.6,45.2,65.3,1
IT,6.66,61.9,55.2,4.3,4.4,3.6,9.3,5.7,1,3,2,1,0,57.9,22.6,51.7,55.9,36.6,0
CSE,4.99,75.4,75.0,4.5,6.8,8.7,6.0,10.0,3,3,0,3,2,54.3,57.6,31.5,76.5,48.4,0
MECH,5.74,61.9,58.7,4.3,8.1,5.9,6.7,7.0,0,3,2,1,0,58.6,49.0,45.3,74.1,37.7,0
CSE,9.19,98.6,81.7,8.7,6.3,7.7,6.5,5.7,1,1,1,0,1,70.9,61.6,100.0,54.2,53.0,1
CSE,9.01,60.5,92.6,6.0,4.6,8.0,7.1,6.8,1,4,2,0,3,81.5,64.9,69.7,56.1,41.9,0
MECH,7.27,96.1,52.5,7.1,6.3,4.0,10.0,4.3,1,2,2,0,3,63.8,29.1,68.5,60.3,32.4,0
MECH,9.03,53.9,48.5,9.0,7.6,7.9,7.0,6.0,0,0,2,3,1,70.2,58.3,79.6,83.0,54.6,1
AIML,7.02,100.0,71.1,1.3,5.8,3.5,5.7,7.4,3,3,2,0,0,69.5,25.6,26.6,64.6,24.7,0
MECH,6.93,85.0,89.7,8.6,7.6,3.6,5.3,5.4,3,3,0,1,0,75.5,25.4,69.3,72.7,59.3,1
DS,7.26,87.5,77.0,6.1,8.6,9.9,8.9,4.0,2,1,0,1,1,63.1,80.7,62.4,85.2,57.2,1
CSE,7.06,61.6,69.5,6.9,6.9,8.3,5.7,5.3,0,5,3,0,4,73.4,81.2,80.9,62.1,37.9,0
CSE,6.96,74.1,61.0,4.3,6.4,10.0,8.0,4.9,0,3,0,1,0,45.4,78.5,48.1,66.4,47.3,0
CSE,8.46,74.9,84.4,4.5,8.0,5.5,6.0,2.8,1,2,1,0,1,67.0,39.2,36.7,80.9,35.8,0
CSE,7.37,76.8,95.0,7.0,5.0,6.4,5.1,4.4,2,2,4,0,0,87.5,49.2,61.9,51.9,73.7,1
MECH,7.98,93.3,50.7,10.0,4.8,7.2,7.9,2.7,0,1,2,3,0,67.7,53.7,95.7,54.6,63.4,1
CIVIL,8.33,86.3,78.8,8.0,6.0,6.2,6.1,3.0,1,5,2,0,1,74.5,45.4,72.9,66.6,65.1,1
CSE,7.63,76.0,100.0,8.5,5.6,4.8,7.6,3.2,1,3,1,1,0,77.0,33.6,90.5,57.9,48.7,0
AIML,6.13,90.0,67.1,5.6,5.1,4.5,7.7,7.4,2,3,1,2,1,61.7,41.5,54.2,70.2,37.6,0
IT,5.71,92.2,72.5,4.8,9.8,6.6,7.8,8.5,1,3,2,0,0,57.5,58.2,42.9,98.7,48.1,0
ECE,7.36,71.2,74.6,4.4,10.0,4.2,6.6,2.4,1,4,2,0,0,69.3,40.6,30.8,99.0,48.1,0
CSE,7.01,70.8,69.7,5.0,5.9,4.1,8.0,8.7,0,3,4,2,0,64.1,41.9,54.7,63.1,42.5,0
CSE,7.3,100.0,89.3,1.9,6.7,6.9,5.6,3.2,0,1,2,1,0,53.1,52.7,31.2,68.0,40.4,0
CSE,7.18,75.1,98.4,4.6,6.2,6.0,3.3,7.0,3,3,0,0,1,68.7,35.6,52.7,61.2,39.4,0
CSE,10.0,70.3,52.8,4.9,8.5,8.0,8.1,6.0,1,3,1,1,0,76.3,79.6,52.0,90.8,69.6,1
MECH,5.74,76.1,62.9,5.6,8.9,5.4,7.2,6.8,3,5,1,2,3,73.4,25.1,57.1,71.9,43.3,0
CSE,5.01,90.9,91.2,6.3,3.3,5.1,6.1,3.2,0,3,1,0,0,54.5,38.0,68.6,34.3,12.1,0
ECE,7.57,86.6,82.8,6.7,7.4,7.0,4.8,1.9,1,2,2,0,1,74.8,44.6,67.8,61.1,55.6,1
DS,6.79,76.5,80.7,6.0,4.1,4.7,3.9,3.9,1,1,1,0,0,47.7,40.5,49.0,49.5,28.0,0
CIVIL,7.55,85.3,84.1,4.8,9.7,4.9,7.1,6.4,3,2,1,1,0,65.2,31.9,53.7,85.6,61.5,1
AIML,7.84,81.0,76.2,2.1,7.3,5.0,9.5,9.4,3,3,4,2,0,81.5,49.3,24.2,70.4,58.4,1
CSE,8.61,76.3,81.3,4.8,5.0,5.8,6.8,3.4,0,1,2,2,0,62.8,48.3,57.2,48.0,37.0,0
ECE,5.54,74.4,70.8,4.1,6.1,9.6,6.5,5.3,0,3,1,0,0,48.2,88.6,51.8,53.8,36.6,0
MECH,6.59,79.8,72.0,6.9,6.0,3.6,7.0,4.0,2,4,1,2,0,72.9,29.5,68.7,59.0,53.3,1
CSE,7.67,73.0,73.8,7.8,7.4,8.7,10.0,5.5,2,1,3,2,2,79.2,78.6,83.4,64.4,72.2,1
CSE,8.05,78.8,69.7,7.9,8.4,7.6,8.1,1.6,1,3,3,1,2,90.6,52.1,87.3,92.7,63.8,1
CIVIL,9.61,77.4,81.1,7.5,4.4,9.2,5.6,8.5,2,1,2,1,0,70.8,81.3,85.2,48.0,73.5,1
CIVIL,8.25,60.6,78.9,5.7,9.8,10.0,7.0,5.5,0,0,1,2,1,47.9,78.9,56.7,90.8,59.5,1
EEE,7.14,71.6,50.7,5.0,9.4,8.9,7.5,7.3,1,0,3,2,0,44.1,73.3,44.4,95.4,51.8,1
EEE,6.22,74.9,72.4,4.5,4.9,8.0,5.4,5.0,2,3,4,2,2,80.4,71.1,51.4,51.7,53.5,1
EEE,6.58,100.0,75.3,3.0,6.6,3.7,8.1,5.9,0,5,1,0,1,62.7,32.7,35.5,62.2,23.1,0
CSE,6.55,76.1,94.9,8.0,9.6,3.9,5.8,7.8,2,3,3,1,0,79.6,25.2,66.7,96.2,64.6,1
ECE,7.92,81.3,71.3,5.7,8.7,6.9,4.7,5.8,3,2,3,2,1,87.2,51.2,62.1,81.9,78.4,1
CSE,7.48,100.0,76.3,3.5,5.9,3.0,7.1,5.8,2,1,1,0,0,50.3,15.3,36.8,67.0,23.3,0
CSE,5.74,59.0,74.0,4.3,8.0,7.4,6.9,3.9,0,3,1,0,1,51.1,64.7,49.0,75.7,24.1,0
DS,6.72,59.6,92.2,4.3,10.0,2.1,7.0,4.4,1,0,2,2,0,63.7,14.4,34.0,88.9,37.1,0
MECH,8.17,68.7,59.5,6.1,6.7,8.4,5.9,3.5,1,3,1,0,1,65.9,63.5,58.3,71.9,58.2,1
IT,7.59,74.0,64.8,8.1,5.4,5.6,6.1,4.0,0,1,0,0,0,52.7,46.3,93.6,52.9,23.8,0
ECE,7.83,75.2,63.9,5.3,6.8,6.4,8.7,8.0,3,2,4,0,0,85.0,49.6,40.5,69.8,64.9,1
ECE,7.62,71.9,75.2,1.5,6.9,4.8,7.7,9.1,0,2,2,0,1,52.4,47.6,12.8,71.8,22.6,0
CSE,8.99,63.2,55.6,5.6,5.6,2.6,5.6,3.0,2,3,2,3,1,86.7,27.0,68.4,49.7,51.8,1
CSE,7.46,89.7,94.0,5.7,7.3,8.5,4.1,6.3,1,2,0,2,0,58.2,74.2,55.4,68.0,54.0,1
CSE,6.78,72.6,80.4,5.6,4.2,8.7,5.6,4.9,1,2,2,0,0,61.7,66.6,57.9,40.6,44.5,0
IT,6.19,92.2,82.6,4.7,5.3,5.5,7.2,8.3,0,2,2,0,0,51.7,49.9,53.8,52.6,23.6,0
CIVIL,7.47,65.8,100.0,6.4,7.9,7.5,6.1,5.8,0,2,1,0,0,49.8,63.7,69.8,84.3,30.9,0
MECH,4.52,100.0,70.5,6.1,3.3,5.5,5.9,5.5,1,5,1,1,0,66.4,33.9,63.1,31.4,32.2,0
EEE,7.0,58.0,86.1,6.0,8.1,6.7,6.1,4.0,1,2,1,0,1,62.6,52.0,71.6,74.3,39.7,0
AIML,6.97,77.8,82.6,6.8,2.9,7.6,6.9,2.4,2,1,1,2,0,56.3,59.8,63.2,41.2,37.8,0
CSE,5.7,66.0,95.0,5.1,3.4,7.3,8.2,7.0,0,2,3,2,0,57.0,70.0,56.9,32.7,32.1,0
ECE,6.18,78.4,84.0,5.0,5.6,8.7,7.0,6.2,0,1,1,2,2,39.1,66.6,57.3,57.8,29.4,0
ECE,8.09,66.2,68.4,8.8,7.0,7.2,7.1,6.3,2,2,0,2,1,67.6,61.3,78.3,74.3,58.1,1
IT,7.45,52.3,80.5,7.1,8.9,6.3,6.7,4.3,2,1,2,1,1,74.1,60.4,70.2,90.7,57.5,1
DS,7.31,68.6,66.6,7.7,6.6,4.8,6.3,5.2,0,4,2,1,0,75.5,30.6,74.7,57.3,42.5,0
CSE,7.54,97.2,68.9,8.5,6.1,5.3,8.3,7.1,0,2,1,3,1,63.6,44.6,82.3,58.6,47.1,0
AIML,7.3,66.0,74.8,7.1,7.5,7.7,8.1,7.5,0,3,2,1,0,64.0,78.2,79.4,65.5,67.4,1
IT,8.57,84.1,72.6,7.9,4.9,3.3,10.0,3.1,0,4,0,1,0,68.3,14.2,69.3,59.4,42.1,0
CSE,7.34,78.1,63.4,2.8,6.8,8.3,7.9,4.2,0,4,1,2,0,52.2,61.6,32.3,75.0,44.5,0
ECE,5.6,72.5,45.5,6.4,4.3,5.7,6.3,2.7,1,2,0,0,0,53.0,47.5,52.9,51.4,24.8,0
EEE,8.99,100.0,78.9,5.6,6.6,4.6,5.6,5.9,3,5,1,3,0,90.2,40.1,51.1,65.3,71.5,1
DS,7.61,74.2,79.8,9.4,6.3,4.1,8.4,7.3,0,3,1,0,0,63.8,34.2,73.6,63.4,48.5,0
CSE,6.55,80.0,79.7,7.9,5.1,7.5,5.8,4.9,2,1,2,1,1,64.3,64.2,72.8,47.9,48.8,0
IT,5.82,79.0,99.8,4.7,6.8,6.2,8.2,4.2,1,4,0,0,0,58.2,59.5,42.0,60.3,46.1,0
ECE,7.64,96.9,55.0,6.7,6.8,9.2,5.9,4.8,3,2,0,2,0,69.3,74.2,67.8,70.0,77.3,1
IT,7.07,60.0,95.2,6.3,8.6,3.8,7.5,10.0,2,1,2,3,1,64.5,29.8,70.8,79.2,44.9,0
EEE,8.93,100.0,100.0,6.9,3.6,5.1,5.4,7.9,2,3,1,1,0,76.1,45.6,64.6,25.6,61.3,1
MECH,6.82,96.2,97.9,4.0,6.4,6.0,8.2,7.0,1,3,1,2,1,52.0,64.1,54.8,73.3,35.6,0
IT,6.28,82.8,70.5,6.7,5.1,4.8,5.1,6.1,2,4,1,0,0,72.4,43.0,66.2,47.6,51.4,1
IT,8.19,85.4,80.9,5.5,8.1,6.2,7.4,5.5,1,4,2,0,0,77.3,58.0,52.4,81.5,55.8,1
AIML,8.22,75.3,65.0,6.6,7.9,6.8,6.7,3.7,0,2,0,0,1,46.6,41.9,65.3,76.5,36.2,0
CSE,7.39,79.8,66.2,4.6,7.4,7.1,7.2,3.4,3,2,2,0,2,69.3,55.5,39.1,80.7,51.9,1
CIVIL,7.94,83.0,97.4,4.8,5.2,9.1,6.4,4.4,2,3,1,1,1,62.2,62.8,54.4,44.7,57.9,1
CSE,7.16,67.1,84.1,8.3,8.1,3.7,6.4,3.6,0,3,3,2,0,78.4,29.9,65.1,83.8,48.8,0
EEE,7.46,96.2,84.9,3.9,3.7,6.8,7.2,4.3,2,1,3,0,1,71.7,66.1,49.0,40.7,44.6,0
MECH,8.48,80.7,60.4,4.0,3.4,5.0,5.5,5.3,1,1,2,0,0,67.5,29.4,39.3,38.6,32.4,0
EEE,7.89,79.7,55.8,5.9,4.2,7.0,5.5,5.4,0,1,1,0,2,60.4,70.0,59.1,40.9,19.7,0
MECH,7.01,67.6,88.7,4.5,6.4,7.0,6.5,4.3,1,3,2,0,1,67.2,56.1,46.8,62.2,47.8,0
DS,8.69,92.0,80.5,4.2,7.7,4.3,6.4,6.5,1,1,2,0,4,62.9,41.7,48.8,81.4,34.3,0
CSE,4.6,77.4,71.1,6.2,1.1,4.5,5.5,5.1,1,1,1,0,0,46.8,44.1,52.4,11.3,10.6,0
CIVIL,9.46,71.7,97.6,3.0,8.9,7.2,8.4,5.9,0,2,3,1,0,63.6,73.3,31.6,85.2,56.4,1
ECE,5.32,65.0,82.7,4.0,6.7,6.2,6.5,4.0,3,1,4,2,0,67.2,54.6,46.8,65.7,49.8,0
CSE,6.51,76.1,63.9,10.0,3.7,5.8,6.7,6.9,3,1,1,0,1,70.9,39.3,99.2,31.1,59.2,1
